Date,Time,Reactor_A_Stage_1,Reactor_A_Stage_2,Reactor_B_Stage_1,Reactor_B_Stage_2,Reactor_C_Stage_1,Reactor_C_Stage_2,Temperature_Set_Point,Heater_A_Status,Heater_B_Status,Heater_C_Status,Temperature_A,Temperature_B,Temperature_C
12/01/2023,00:00:00,0.325945538,-0.067401334,0.690779065,0.265856702,0.207458048,-0.323389314,20,1,1,1,20.3564911,20.14915508,20.10792154
12/01/2023,00:15:00,0.344570497,0.034484904,0.669546619,0.314973511,0.114594654,-0.18189389,20,1,1,1,20.53569721,19.92959359,20.08160188
12/01/2023,00:30:00,0.374728611,0.011333634,0.662957794,0.322253591,0.089313332,-0.260768979,20,1,1,1,20.11994518,19.65077433,20.15578362
12/01/2023,00:45:00,0.40973419,-0.088610136,0.661979257,0.292288577,0.066222965,-0.289115931,20,1,1,1,19.56715917,19.64236813,19.64466854
12/01/2023,01:00:00,0.431942624,0.04126487,0.69768895,0.268151116,0.086791071,-0.286709182,20,1,1,1,19.72304627,20.10906727,20.2823839
12/01/2023,01:15:00,0.327169106,-0.047423079,0.714827772,0.293775226,0.054080629,-0.282447623,20,1,1,1,19.70828567,20.00119052,19.68392192
12/01/2023,01:30:00,0.392438409,-0.098880263,0.660764877,0.302235761,0.213510392,-0.182244354,20,1,1,1,19.7332495,19.95842236,20.42315959
12/01/2023,01:45:00,0.389121274,-0.006231139,0.686840837,0.297044282,0.119779865,-0.180196975,20,1,1,1,19.95107712,19.85699709,19.79346255
12/01/2023,02:00:00,0.43029541,-0.019666547,0.70589317,0.325703372,0.113676314,-0.23702619,20,1,1,1,20.30905573,21.23135376,19.60487011
12/01/2023,02:15:00,0.406551061,-0.046746078,0.725396556,0.257188593,0.117002833,-0.154714154,20,1,1,1,20.16020193,20.21219363,20.18719331
12/01/2023,02:30:00,0.394612431,0.08328613,0.713234778,0.324932675,0.032680234,-0.204826641,20,1,1,1,20.19161748,19.73910535,19.68256906
12/01/2023,02:45:00,0.43895219,0.027867687,0.692349626,0.273120327,0.162023829,-0.215297757,20,1,1,1,20.18349279,19.64365464,19.62000792
12/01/2023,03:00:00,0.406755042,0.042520368,0.707050064,0.315651984,0.060109187,-0.239593449,20,1,1,1,20.16126852,18.66877438,20.17204683
12/01/2023,03:15:00,0.421716814,-0.012238132,0.708240762,0.287497789,0.111533085,-0.341088834,20,1,1,1,20.03132964,20.00101573,19.95949283
12/01/2023,03:30:00,0.477873064,-0.042319405,0.650050076,0.314436584,0.122127157,-0.3359529,20,1,1,1,19.92306382,20.20779663,20.01488225
12/01/2023,03:45:00,0.369583664,-0.022102371,0.722823076,0.311368987,0.261591829,-0.197442128,20,1,1,1,20.14612015,19.5144514,19.94317219
12/01/2023,04:00:00,0.389942087,0.040646939,0.727750773,0.340338841,0.164066525,-0.254037804,20,1,1,1,20.0355305,19.96629979,20.03256001
